00:06:48:471 [main] DEBUG  o.s.b.c.l.ClasspathLoggingApplicationListener - Application started with classpath: unknown
00:06:48:760 [background-preinit] DEBUG  o.h.v.m.ResourceBundleMessageInterpolator - Loaded expression factory via original TCCL
00:06:48:776 [background-preinit] DEBUG  o.h.validator.internal.engine.ValidatorFactoryImpl - HV000234: Using org.hibernate.validator.messageinterpolation.ResourceBundleMessageInterpolator as ValidatorFactory-scoped message interpolator.
00:06:48:776 [background-preinit] DEBUG  o.h.validator.internal.engine.ValidatorFactoryImpl - HV000234: Using org.hibernate.validator.internal.engine.resolver.TraverseAllTraversableResolver as ValidatorFactory-scoped traversable resolver.
00:06:48:777 [background-preinit] DEBUG  o.h.validator.internal.engine.ValidatorFactoryImpl - HV000234: Using org.hibernate.validator.internal.util.ExecutableParameterNameProvider as ValidatorFactory-scoped parameter name provider.
00:06:48:777 [background-preinit] DEBUG  o.h.validator.internal.engine.ValidatorFactoryImpl - HV000234: Using org.hibernate.validator.internal.engine.DefaultClockProvider as ValidatorFactory-scoped clock provider.
00:06:48:777 [background-preinit] DEBUG  o.h.validator.internal.engine.ValidatorFactoryImpl - HV000234: Using org.hibernate.validator.internal.engine.scripting.DefaultScriptEvaluatorFactory as ValidatorFactory-scoped script evaluator factory.
00:06:48:827 [main] INFO  c.p.restservice.FirstApp.FirstAppApplication - Starting FirstAppApplication on CPX-DYUZT083X7V with PID 33756 (started by siti.n.hassanudin in C:\Users\siti.n.hassanudin\Downloads\FirstApp (1)\FirstApp)
00:06:48:827 [main] DEBUG  c.p.restservice.FirstApp.FirstAppApplication - Running with Spring Boot v2.2.0.RELEASE, Spring v5.2.0.RELEASE
00:06:48:828 [main] INFO  c.p.restservice.FirstApp.FirstAppApplication - No active profile set, falling back to default profiles: default
00:06:48:828 [main] DEBUG  org.springframework.boot.SpringApplication - Loading source class com.programwitherik.restservice.FirstApp.FirstAppApplication
00:06:48:936 [main] DEBUG  o.s.b.context.config.ConfigFileApplicationListener - Loaded config file 'file:/C:/Users/siti.n.hassanudin/Downloads/FirstApp%20(1)/FirstApp/target/classes/application.properties' (classpath:/application.properties)
00:06:48:941 [main] DEBUG  o.s.b.w.s.c.AnnotationConfigServletWebServerApplicationContext - Refreshing org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@404bbcbd
00:06:48:993 [main] DEBUG  o.s.b.factory.support.DefaultListableBeanFactory - Creating shared instance of singleton bean 'org.springframework.context.annotation.internalConfigurationAnnotationProcessor'
00:06:49:040 [main] DEBUG  o.s.b.factory.support.DefaultListableBeanFactory - Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.internalCachingMetadataReaderFactory'
00:06:49:166 [main] DEBUG  o.s.c.annotation.ClassPathBeanDefinitionScanner - Identified candidate component class: file [C:\Users\siti.n.hassanudin\Downloads\FirstApp (1)\FirstApp\target\classes\com\programwitherik\restservice\FirstApp\HelloWorld.class]
